r1,r2,sheet_num,term
red,submissive,14,NA
red,jealous,14,NA
red,sad,14,NA
red,tense,14,NA
red,hot,14,NA
red,ripe,14,NA
red,stale,14,NA
red,slow,14,NA
red,aggressive,14,NA
red,clean,14,NA
red,soft,14,NA
red,relaxed,14,NA
red,light,14,NA
red,alive,14,NA
red,dull,14,NA
red,dead,14,NA
red,dirty,14,NA
red,heavy,14,NA
red,old,14,NA
red,disliked,14,NA
red,happy,14,NA
red,active,14,NA
red,liked,14,NA
red,hard,14,NA
red,exciting,14,NA
red,angry,14,NA
red,unripe,14,NA
red,calm,14,NA
red,new,14,NA
red,fresh,14,NA
red,passive,14,NA
red,fast,14,NA
red,cold,14,NA
red,selfless,14,NA
green,submissive,14,NA
green,jealous,14,NA
green,sad,14,NA
green,tense,14,NA
green,hot,14,NA
green,ripe,14,NA
green,stale,14,NA
green,slow,14,NA
green,aggressive,14,NA
green,clean,14,NA
green,soft,14,NA
green,relaxed,14,NA
green,light,14,NA
green,alive,14,NA
green,dull,14,NA
green,dead,14,NA
green,dirty,14,NA
green,heavy,14,NA
green,old,14,NA
green,disliked,14,NA
green,happy,14,NA
green,active,14,NA
green,liked,14,NA
green,hard,14,NA
green,exciting,14,NA
green,angry,14,NA
green,unripe,14,NA
green,calm,14,NA
green,new,14,NA
green,fresh,14,NA
green,passive,14,NA
green,fast,14,NA
green,cold,14,NA
green,selfless,14,NA
black,submissive,14,NA
black,jealous,14,NA
black,sad,14,NA
black,tense,14,NA
black,hot,14,NA
black,ripe,14,NA
black,stale,14,NA
black,slow,14,NA
black,aggressive,14,NA
black,clean,14,NA
black,soft,14,NA
black,relaxed,14,NA
black,light,14,NA
black,alive,14,NA
black,dull,14,NA
black,dead,14,NA
black,dirty,14,NA
black,heavy,14,NA
black,old,14,NA
black,disliked,14,NA
black,happy,14,NA
black,active,14,NA
black,liked,14,NA
black,hard,14,NA
black,exciting,14,NA
black,angry,14,NA
black,unripe,14,NA
black,calm,14,NA
black,new,14,NA
black,fresh,14,NA
black,passive,14,NA
black,fast,14,NA
black,cold,14,NA
black,selfless,14,NA
