r1,r2,r3,sheet_num,term
red,hot,and,24,NA
red,disliked,and,24,NA
red,exciting,and,24,NA
red,stale,and,24,NA
red,heavy,and,24,NA
red,active,and,24,NA
red,soft,and,24,NA
red,dead,and,24,NA
red,dirty,and,24,NA
red,clean,and,24,NA
red,old,and,24,NA
red,submissive,and,24,NA
red,aggressive,and,24,NA
red,selfless,and,24,NA
red,liked,and,24,NA
red,unripe,and,24,NA
red,angry,and,24,NA
red,relaxed,and,24,NA
red,new,and,24,NA
red,slow,and,24,NA
red,fast,and,24,NA
red,jealous,and,24,NA
red,alive,and,24,NA
red,tense,and,24,NA
red,fresh,and,24,NA
red,hard,and,24,NA
red,sad,and,24,NA
red,light,and,24,NA
red,happy,and,24,NA
red,ripe,and,24,NA
red,cold,and,24,NA
red,dull,and,24,NA
red,passive,and,24,NA
red,calm,and,24,NA
black,hot,and,24,NA
black,disliked,and,24,NA
black,exciting,and,24,NA
black,stale,and,24,NA
black,heavy,and,24,NA
black,active,and,24,NA
black,soft,and,24,NA
black,dead,and,24,NA
black,dirty,and,24,NA
black,clean,and,24,NA
black,old,and,24,NA
black,submissive,and,24,NA
black,aggressive,and,24,NA
black,selfless,and,24,NA
black,liked,and,24,NA
black,unripe,and,24,NA
black,angry,and,24,NA
black,relaxed,and,24,NA
black,new,and,24,NA
black,slow,and,24,NA
black,fast,and,24,NA
black,jealous,and,24,NA
black,alive,and,24,NA
black,tense,and,24,NA
black,fresh,and,24,NA
black,hard,and,24,NA
black,sad,and,24,NA
black,light,and,24,NA
black,happy,and,24,NA
black,ripe,and,24,NA
black,cold,and,24,NA
black,dull,and,24,NA
black,passive,and,24,NA
black,calm,and,24,NA
purple,hot,and,24,NA
purple,disliked,and,24,NA
purple,exciting,and,24,NA
purple,stale,and,24,NA
purple,heavy,and,24,NA
purple,active,and,24,NA
purple,soft,and,24,NA
purple,dead,and,24,NA
purple,dirty,and,24,NA
purple,clean,and,24,NA
purple,old,and,24,NA
purple,submissive,and,24,NA
purple,aggressive,and,24,NA
purple,selfless,and,24,NA
purple,liked,and,24,NA
purple,unripe,and,24,NA
purple,angry,and,24,NA
purple,relaxed,and,24,NA
purple,new,and,24,NA
purple,slow,and,24,NA
purple,fast,and,24,NA
purple,jealous,and,24,NA
purple,alive,and,24,NA
purple,tense,and,24,NA
purple,fresh,and,24,NA
purple,hard,and,24,NA
purple,sad,and,24,NA
purple,light,and,24,NA
purple,happy,and,24,NA
purple,ripe,and,24,NA
purple,cold,and,24,NA
purple,dull,and,24,NA
purple,passive,and,24,NA
purple,calm,and,24,NA
"Please type the word ""one""in the box",,,24,NA
"Please type the word ""two""in the box",,,24,NA
"Please type the word ""three""in the box",,,24,NA
