r1,r2,sheet_num
green,clean,29
green,hot,29
green,soft,29
green,happy,29
green,calm,29
green,fresh,29
green,unripe,29
green,tense,29
green,heavy,29
green,slow,29
green,dead,29
green,selfless,29
green,sad,29
green,dislike,29
green,relaxed,29
green,active,29
green,angry,29
green,jealous,29
green,new,29
green,like,29
green,alive,29
green,submissive,29
green,dull,29
green,aggressive,29
green,exciting,29
green,old,29
green,light,29
green,stale,29
green,passive,29
green,dirty,29
green,hard,29
green,fast,29
green,cold,29
green,ripe,29
orange,clean,29
orange,hot,29
orange,soft,29
orange,happy,29
orange,calm,29
orange,fresh,29
orange,unripe,29
orange,tense,29
orange,heavy,29
orange,slow,29
orange,dead,29
orange,selfless,29
orange,sad,29
orange,dislike,29
orange,relaxed,29
orange,active,29
orange,angry,29
orange,jealous,29
orange,new,29
orange,like,29
orange,alive,29
orange,submissive,29
orange,dull,29
orange,aggressive,29
orange,exciting,29
orange,old,29
orange,light,29
orange,stale,29
orange,passive,29
orange,dirty,29
orange,hard,29
orange,fast,29
orange,cold,29
orange,ripe,29
blue,clean,29
blue,hot,29
blue,soft,29
blue,happy,29
blue,calm,29
blue,fresh,29
blue,unripe,29
blue,tense,29
blue,heavy,29
blue,slow,29
blue,dead,29
blue,selfless,29
blue,sad,29
blue,dislike,29
blue,relaxed,29
blue,active,29
blue,angry,29
blue,jealous,29
blue,new,29
blue,like,29
blue,alive,29
blue,submissive,29
blue,dull,29
blue,aggressive,29
blue,exciting,29
blue,old,29
blue,light,29
blue,stale,29
blue,passive,29
blue,dirty,29
blue,hard,29
blue,fast,29
blue,cold,29
blue,ripe,29
