word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
amputate	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bang	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bonded	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cannonball	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
clean	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
contractor	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
daredevil	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
diseased	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
elective	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
familiar	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
footwear	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
goddess	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
heap	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
impale	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
key	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
logical	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mesmerize	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
natural	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
outweigh	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
picnic	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
previous	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ravenous	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
rift	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
seashore	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
skater	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
spite	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sublime	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
terrify	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
trickster	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
very	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
wisdom	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ambivalence	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bilge	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
chute	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
creationism	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
disaffected	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
enrapture	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fray	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hee-haw	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
independency	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
jewelry	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mastiff	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ogle	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pleat	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
raze	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
scientist	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
splice	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
tintinnabulation	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
unlucky	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
yammer	Is the word 	...	iconicity	273	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Please choose the right-most option			catch	7	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
Please choose the middle option			catch	4	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
The word red has two letters			catch	1	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
Squares have four sides			catch	7	(1) Strongly disagree	(2)	(3)	(4)	(5)	(6)	(7) Strongly agree
