"workerid_director","condition","language","implicit_term","order","target1","target2","target3","distractor1","distractor2","distractor3","distractor4","distractor5","distractor6","clue","question_type"
"A2UTDZAZV1DF0N","english_term","english","snacks","1_3","cookies","carrots","nuts","fried eggs","roast beef sandwich","moth","computer","cooking","sleet","snack",""
"A2UTDZAZV1DF0N","chinese_term","english","<U+751F><U+7269>","1_3","human","insect","fungus","cliff","ocean","teamwork","knife","bowl","desk","alive things",""
"A2UTDZAZV1DF0N","english_term","english","appetizers","1_3","onion rings","cheese and crackers","soup","rice","pineapple","typing","baseball","sculpture","flowers","food that isn't fruit",""
"A2UTDZAZV1DF0N","chinese_term","english","<U+8C03><U+5473><U+54C1>","1_3","sesame oil","salt","sugar","milk","apple","motorcycle","stove","stuffed animal","grass","food add ons",""
"A2UTDZAZV1DF0N","english_term","english","drugs","1_3","cocaine","methamphetamine","aspirin","sulfuric acid","baking soda","chocolate bar","sewing","chopsticks","chair","drugs",""
"A2UTDZAZV1DF0N","english_term","english","crafts","1_3","pottery","drawing","sewing","ballroom dance","poetry","motorcycle","bark","star","fog","hobbies you use your hands in",""
"A2UTDZAZV1DF0N","english_term","english","crimes","1_3","rape","assault","trespassing","spitting","being mean","motorcycle","lamp","apple slices","walrus","illegal stuff",""
"A2UTDZAZV1DF0N","english_term","english","appetizers","1_3","french fries","shrimp","breadsticks","pork chop","lettuce","singing","stuffed animal","painting","tree","food that isn't vegetable or meat",""
"A2UTDZAZV1DF0N","english_term","english","beverages","1_3","beer","milk","soda","oil","soy sauce","bicycle","clouds","seeds","snow","drinks",""
"A2UTDZAZV1DF0N","chinese_term","english","<U+5BB6><U+5177>","1_3","clock","rug","desk","printer","door","tree","waterfall","plains","rice","things in an office",""
"A2UTDZAZV1DF0N","english_term","english","skills","1_3","critical thinking","teamwork","writing","burping","laughing","popcorn","beer","sky","barbie","skills",""
"A2UTDZAZV1DF0N","english_term","english","crimes","1_3","kidnapping","arson","speeding","farting","cursing","truck","table","peanuts","deer","illegal",""
