workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
euphoricFerret9_1635341589,chinese_term,chinese,风景,2_1,湖,森林,古城,泥土,陆地,芝士,椅子,可卡因,船,景点,
euphoricFerret9_1635341589,english_term,chinese,skills,2_1,沟通,唱歌,打字,喝,去上学,饼干,水,行星,棒球,语言,
euphoricFerret9_1635341589,english_term,chinese,snacks,2_1,饼干,萝卜,坚果,煎鸡蛋,烤牛肉三明治,蛾子,电脑,烹饪,冻雨,零食,
euphoricFerret9_1635341589,chinese_term,chinese,电器,2_1,电脑,空调,台灯,椅子,枕头,鸡,树,果汁,花园,电器,
euphoricFerret9_1635341589,english_term,chinese,crafts,2_1,针织,雕塑,剪纸,歌剧,剧院,卡车,树叶,行星,细雨,手工,
euphoricFerret9_1635341589,chinese_term,chinese,地形,2_1,沼泽,山地,山谷,星空,波浪,大麻,椅子,裙子,龟,地貌,
euphoricFerret9_1635341589,chinese_term,chinese,农产品,2_1,猪肉,玉米,土豆,薯片,苏打水,乐高,飞机,刀,椅子,食材,
euphoricFerret9_1635341589,chinese_term,chinese,电器,2_1,手机,微波炉,电视,沙发,床,盐,乌云,红酒,草,电器,
euphoricFerret9_1635341589,english_term,chinese,crimes,2_1,谋杀,抢劫,擅自闯入,说谎,迟到,船,枕头,爆米花,蛾子,犯罪,
euphoricFerret9_1635341589,chinese_term,chinese,生物,2_1,人类,昆虫,真菌,悬崖,海洋,团队合作,刀,碗,桌子,生物,
euphoricFerret9_1635341589,english_term,chinese,beverages,2_1,水,茶,啤酒,汽油,植物油,公共汽车,太阳,树叶,细雨,饮品,
euphoricFerret9_1635341589,chinese_term,chinese,化妆品,2_1,眼线,眼霜,润肤霜,洗面奶,泡泡浴,酸奶,草,湖,森林,护肤品,
euphoricFerret9_1635341589,chinese_term,chinese,服饰,2_1,发夹,外套,裤子,指甲油,眼影,酸奶,瀑布,云朵,月亮,搭配,
euphoricFerret9_1635341589,chinese_term,chinese,调味品,2_1,孜然,芝麻,醋,酸奶,胡萝卜,蛾子,电视,芭比,冰雹,调味品,
euphoricFerret9_1635341589,chinese_term,chinese,生物,2_1,细菌,植物,动物,雨,山丘,烹饪,椅子,杯子,铅笔,生物,
euphoricFerret9_1635341589,english_term,chinese,precipitation,2_1,雨,冰雹,细雨,乌云,河,刀,蛇,三明治,钢笔,气象,
euphoricFerret9_1635341589,english_term,chinese,beverages,2_1,牛奶,苏打水,红酒,芝麻油,酱油,船,月亮,树皮,雾,饮品,
euphoricFerret9_1635341589,chinese_term,chinese,风景,2_1,高山,沙漠,星空,岩石,树,酸奶,火炉,迷幻药,卡车,地貌,
euphoricFerret9_1635341589,chinese_term,chinese,调味品,2_1,香油,盐,糖,牛奶,苹果,摩托车,火炉,填充玩具动物,草,调味品,
euphoricFerret9_1635341589,chinese_term,chinese,化妆品,2_1,口红,乳液,腮红,洗发水,卫生棉条,萝卜,树,椅子,古城,化妆品,
euphoricFerret9_1635341589,english_term,chinese,drugs,2_1,大麻,咖啡因,酒精,钠,氮,白饭,陶瓷,火炉,桌子,致瘾,
euphoricFerret9_1635341589,english_term,chinese,pests,2_1,跳蚤,老鼠,蚊子,蝴蝶,老鹰,云,桌子,刀,河,四害,
