workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
madPretzels5_1635283432,english_term,chinese,crimes,3_2,谋杀,虐待,贪污,不忠,放屁,自行车,桌子,饼干,蛇,恶行,
madPretzels5_1635283432,chinese_term,chinese,水域,3_2,小溪,池塘,冰川,雨,苏打水,山,鸡,火车,刀,水文,
madPretzels5_1635283432,english_term,chinese,precipitation,3_2,雨,雪,冻雨,乌云,气泡水,筷子,海象,巧克力棒,铅笔,降水,
madPretzels5_1635283432,chinese_term,chinese,化妆品,3_2,眼影,保湿水,唇膏,香皂,浴盐,云朵,沙漠,绑架,枕头,化妆品,
madPretzels5_1635283432,english_term,chinese,precipitation,3_2,冰雹,雾,细雨,乌云,湖,火炉,鹿,白饭,记事本,可触碰的降水,
madPretzels5_1635283432,chinese_term,chinese,电器,3_2,冰箱,电风扇,手机,毯子,沙发,番茄,海洋,啤酒,山,用电,
madPretzels5_1635283432,chinese_term,chinese,水域,3_2,河流,水库,大海,雪,啤酒,山谷,番茄,公共汽车,椅子,水文,
madPretzels5_1635283432,chinese_term,chinese,调味品,3_2,胡椒,糖,酱油,面粉,鸡蛋,海象,记事本,木工,雪,调料,
madPretzels5_1635283432,english_term,chinese,beverages,3_2,牛奶,苏打水,红酒,芝麻油,酱油,船,月亮,树皮,雾,饮料,
madPretzels5_1635283432,english_term,chinese,crimes,3_2,盗窃,纵火,骚扰,诅咒,说谎,推土机,椅子,薯片,熊,违法,
madPretzels5_1635283432,english_term,chinese,appetizers,3_2,奶酪和饼干,沙拉,鸡翅,烤鸭,苹果,沟通,乐高,针织,种子,配餐,
madPretzels5_1635283432,chinese_term,chinese,化妆品,3_2,睫毛膏,凡士林,乳液,护发素,镊子,山脉,日落,谋杀,钟,面部化妆品,
madPretzels5_1635283432,english_term,chinese,drugs,3_2,阿司匹林,可卡因,大麻,钾,钠,香蕉,木工,杯子,灯,处方药,
madPretzels5_1635283432,english_term,chinese,beverages,3_2,水,茶,啤酒,汽油,植物油,公共汽车,太阳,树叶,细雨,饮料,
madPretzels5_1635283432,chinese_term,chinese,电器,3_2,洗衣机,电脑,台灯,桌子,盥洗盆,盐,瀑布,苏打,雨,电器,
madPretzels5_1635283432,english_term,chinese,snacks,3_2,糖,坚果,水果,白饭,小排骨,海象,铅笔,唱歌,雨,饭后零食,
madPretzels5_1635283432,chinese_term,chinese,服饰,3_2,项链,凉鞋,连衣裙,隐形眼镜,乳液,鸡,刀,草,行星,女装,
madPretzels5_1635283432,chinese_term,chinese,生物,3_2,动物,昆虫,病毒,矿物质,河流,棒球,船,椅子,收入,生物,
madPretzels5_1635283432,english_term,chinese,snacks,3_2,香蕉,土豆片,花生,培根,茄子,鹿,记事本,打字,雪,黄色的食物,
madPretzels5_1635283432,chinese_term,chinese,风景,3_2,湖,森林,古城,泥土,陆地,芝士,椅子,可卡因,船,冰雪奇缘,
madPretzels5_1635283432,english_term,chinese,crafts,3_2,木工,针织,绘画,芭蕾舞,诗歌,船,草,月亮,雨,技术活,
madPretzels5_1635283432,chinese_term,chinese,家具,3_2,顶灯,床,冰箱,马桶,浴缸,鸡,树,水库,铅笔,一居室卧室家具,
madPretzels5_1635283432,english_term,chinese,crafts,3_2,雕塑,缝纫,陶瓷,音乐,文学,公共汽车,种子,太阳,雪,古代技术,
madPretzels5_1635283432,english_term,chinese,appetizers,3_2,肉丸,虾,汤,土豆泥,香蕉,团队合作,芭比,木工,草,火锅,
