workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
stressedCoati6_1635828702,chinese_term,chinese,生物,1_3,人类,昆虫,真菌,悬崖,海洋,团队合作,刀,碗,桌子,依赖氧气,
stressedCoati6_1635828702,english_term,chinese,crafts,1_3,针织,雕塑,剪纸,歌剧,剧院,卡车,树叶,行星,细雨,静止的艺术品,
stressedCoati6_1635828702,english_term,chinese,pests,1_3,老鼠,蚂蚁,苍蝇,企鹅,海龟,太阳,床,碗,池塘,不受欢迎的动物,
stressedCoati6_1635828702,chinese_term,chinese,农产品,1_3,猪肉,玉米,土豆,薯片,苏打水,乐高,飞机,刀,椅子,未加工的食物,
stressedCoati6_1635828702,chinese_term,chinese,地形,1_3,湿地,峡谷,山脊,花园,运河,垃圾箱,绘画,兔子,牛奶,自然风景,
stressedCoati6_1635828702,english_term,chinese,snacks,1_3,薯片,苹果,爆米花,猪排,土豆,猴,电视,电脑编程,冰雹,可甜可咸,
stressedCoati6_1635828702,chinese_term,chinese,风景,1_3,古遗址,沙滩,日落,竹子,草地,椅子,筷子,陶器,推土机,宏大而惆怅,
stressedCoati6_1635828702,chinese_term,chinese,调味品,1_3,香油,盐,糖,牛奶,苹果,摩托车,火炉,填充玩具动物,草,调味料,
stressedCoati6_1635828702,chinese_term,chinese,农产品,1_3,羊肉,洋葱,鸡蛋,爆米花,饺子,沟通,公共汽车,唱歌,树,食材,
stressedCoati6_1635828702,english_term,chinese,beverages,1_3,啤酒,牛奶,苏打,油,酱油,自行车,云,种子,雪,饮料,
stressedCoati6_1635828702,chinese_term,chinese,风景,1_3,瀑布,森林,日出,熊猫,树皮,海洛因,杯子,谋杀,针织,美景,
stressedCoati6_1635828702,english_term,chinese,appetizers,1_3,洋葱圈,奶酪片,汤,白饭,菠萝,打字,棒球,雕塑,花卉,精加工食物,
stressedCoati6_1635828702,english_term,chinese,vehicles,1_3,飞机,船,拖拉机,填充玩具动物,玩具娃娃,薯片,缝纫,铅笔,果汁,运输工具,
