sheet_num,workerid_orig,order,term,r1,r2,r3,condition
18,A200Z7ILOT4S0H,18,food,pasta,noodles,chicken fry,exemplar
18,A200Z7ILOT4S0H,18,furniture,sofa,bed,table,exemplar
18,A200Z7ILOT4S0H,18,hobbies,playing,singing,dancing,exemplar
18,A200Z7ILOT4S0H,18,plants,curry leaves,coriander,banyan,exemplar
18,A200Z7ILOT4S0H,18,pets,dog,cat,parrot,exemplar
18,A200Z7ILOT4S0H,18,games,carrom,chess,tennis,exemplar
18,A200Z7ILOT4S0H,18,animals,dog,cat,cow,exemplar
18,A200Z7ILOT4S0H,18,fruit,banana,papaya,pomegranate,exemplar
18,A200Z7ILOT4S0H,18,diseases,covid-19,jaundice,fever,exemplar
18,A200Z7ILOT4S0H,18,flowers,daisy,rose,lotus,exemplar
