prompt_pre_1,concept,prompt_post_1,anchor_neg,anchor_pos,prompt_pre_2,choice1,choice2,choice3,choice4,choice5,choice6,choice7
CONCEPT:,dog,YOU,small,large,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,ugly,beautiful,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,weak,strong,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,bad,good,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,slow,fast,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,unpleasant,pleasant,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,lazy,industrious,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,masculine,feminine,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,light,heavy,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,passive,active,OTHERS,1,2,3,4,5,6,7
CONCEPT:,dog,YOU,silent,loud,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,small,large,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,ugly,beautiful,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,weak,strong,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,bad,good,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,slow,fast,OTHERS,1,2,3,4,5,6,7
CONCEPT:,orange,YOU,unpleasant,pleasant,OTHERS,1,2,3,4,5,6,7
